City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,46.0,87,0,11.7,clear sky
1,Kapaa,US,22.0752,-159.319,75.0,100,90,11.5,mist
2,Mataura,NZ,-46.1927,168.8643,61.0,76,1,1.01,clear sky
3,Ushuaia,AR,-54.8,-68.3,51.8,71,75,31.07,light rain
4,Tautira,PF,-17.7333,-149.15,87.8,66,40,8.05,scattered clouds
5,Sarkand,KZ,45.41,79.9186,41.09,52,100,5.93,overcast clouds
6,Pustoshka,RU,56.3355,29.369,34.27,97,100,11.83,overcast clouds
7,Clearlake,US,38.9582,-122.6264,64.0,24,0,1.99,clear sky
8,Casablanca,MA,33.5928,-7.6192,60.01,88,20,5.75,few clouds
9,Hami,CN,42.8,93.45,47.28,35,99,5.93,overcast clouds
10,Vila,PT,42.0304,-8.1588,39.99,88,18,1.01,few clouds
11,New Norfolk,AU,-42.7826,147.0587,71.01,42,100,11.99,light rain
12,Vostok,RU,46.4856,135.8833,22.77,81,0,3.06,clear sky
13,Hualmay,PE,-11.0964,-77.6139,74.86,74,13,9.53,few clouds
14,Mandera,KE,3.9366,41.867,77.25,71,89,12.37,overcast clouds
15,Santiago,CL,-33.4569,-70.6483,80.6,36,0,9.22,clear sky
16,Atuona,PF,-9.8,-139.0333,79.05,63,22,2.37,few clouds
17,Kysyl-Syr,RU,63.8986,122.7617,-6.75,99,97,3.53,overcast clouds
18,Carnarvon,AU,-24.8667,113.6333,77.0,69,55,17.27,broken clouds
19,Rikitea,PF,-23.1203,-134.9692,79.72,72,100,4.99,overcast clouds
20,Lokosovo,RU,61.1333,74.8167,-9.2,95,25,10.29,scattered clouds
21,Santa Cruz,BO,-17.8,-63.1667,84.2,65,75,8.05,broken clouds
22,Hilo,US,19.7297,-155.09,82.4,61,75,13.8,light rain
23,Henties Bay,NA,-22.116,14.2845,62.01,95,0,3.0,clear sky
24,Nikolskoye,RU,59.7035,30.7861,32.0,93,90,13.42,snow
25,Albany,US,42.6001,-73.9662,55.4,24,20,14.97,few clouds
26,Vaini,TO,-21.2,-175.2,80.6,78,40,13.8,light rain
27,Dikson,RU,73.5069,80.5464,-10.53,92,100,17.74,overcast clouds
28,Saldanha,ZA,-33.0117,17.9442,60.8,88,44,4.61,scattered clouds
29,Qaanaaq,GL,77.484,-69.3632,-2.07,78,99,1.59,overcast clouds
30,Tasiilaq,GL,65.6145,-37.6368,15.8,86,29,4.61,scattered clouds
31,Portland,US,45.5234,-122.6762,62.01,33,20,3.44,few clouds
32,Moree,AU,-29.4667,149.85,75.2,73,40,18.41,scattered clouds
33,Faya,SA,18.3851,42.4509,62.6,82,0,0.83,clear sky
34,Bredasdorp,ZA,-34.5322,20.0403,59.0,94,62,3.44,broken clouds
35,Belyy Yar,RU,53.6039,91.3903,24.8,93,90,6.71,snow
36,Sept-Iles,CA,50.2001,-66.3821,28.99,59,90,17.27,overcast clouds
37,Deep River,CA,46.1001,-77.4995,26.6,74,90,31.07,light snow
38,Namibe,AO,-15.1961,12.1522,76.87,77,88,7.58,light rain
39,Mar Del Plata,AR,-38.0023,-57.5575,64.99,63,0,6.91,clear sky
40,College,US,64.8569,-147.8028,-5.01,64,1,1.57,clear sky
41,Gayeri,BF,12.6497,0.4931,79.75,16,45,9.37,scattered clouds
42,Anapskaya,RU,44.89,37.38,26.6,68,100,4.47,overcast clouds
43,Hermanus,ZA,-34.4187,19.2345,63.0,92,88,1.01,overcast clouds
44,Hobart,AU,-42.8794,147.3294,73.4,53,75,13.8,light rain
45,Punta Arenas,CL,-53.15,-70.9167,55.4,67,75,24.16,light rain
46,Barrow,US,71.2906,-156.7887,-20.2,63,1,13.8,clear sky
47,San Pedro,PH,14.35,121.0167,77.0,83,90,3.44,overcast clouds
48,East London,ZA,-33.0153,27.9116,74.61,86,31,16.93,scattered clouds
49,Tocopilla,CL,-22.092,-70.1979,70.54,80,19,5.19,few clouds
50,Birao,CF,10.2849,22.7882,81.39,14,91,5.1,overcast clouds
51,Kodiak,US,57.79,-152.4072,24.8,39,1,25.32,clear sky
52,Ostersund,SE,63.1792,14.6357,28.4,100,90,10.36,overcast clouds
53,Kruisfontein,ZA,-34.0033,24.7314,69.53,64,69,2.51,broken clouds
54,Jamestown,US,42.097,-79.2353,46.4,36,1,16.89,clear sky
55,Grindavik,IS,63.8424,-22.4338,30.2,80,0,20.71,clear sky
56,Avarua,CK,-21.2078,-159.775,82.4,78,90,3.44,light rain
57,Severo-Kurilsk,RU,50.6789,156.125,24.03,67,89,31.59,overcast clouds
58,Honningsvag,NO,70.9821,25.9704,26.22,73,96,12.88,overcast clouds
59,Necochea,AR,-38.5473,-58.7368,66.99,59,12,1.99,few clouds
60,Salalah,OM,17.0151,54.0924,73.4,73,0,3.44,clear sky
61,Meulaboh,ID,4.1363,96.1285,75.65,86,76,5.14,broken clouds
62,Tebingtinggi,ID,3.3285,99.1625,75.2,94,40,3.44,scattered clouds
63,Shitanjing,CN,39.2342,106.3439,41.07,39,4,9.31,clear sky
64,Ambovombe,MG,-25.1667,46.0833,73.58,75,0,15.05,clear sky
65,Provideniya,RU,64.3833,-173.3,27.0,95,100,12.03,snow
66,Puerto Ayora,EC,-0.7393,-90.3518,84.2,74,20,5.75,few clouds
67,Shar,KZ,49.5886,81.0453,17.01,94,100,15.26,snow
68,Bengkulu,ID,-3.8004,102.2655,74.44,80,97,5.77,overcast clouds
69,Cherskiy,RU,68.75,161.3,-8.21,90,98,12.3,overcast clouds
70,Leh,IN,34.1667,77.5833,14.92,72,6,1.21,clear sky
71,Magadan,RU,59.5667,150.8,0.05,72,0,5.3,clear sky
72,Mahebourg,MU,-20.4081,57.7,78.8,73,40,6.91,scattered clouds
73,Cape Town,ZA,-33.9258,18.4232,66.0,94,0,4.61,clear sky
74,Cidreira,BR,-30.1811,-50.2056,72.12,75,13,5.39,few clouds
75,Manyana,BW,-23.4,21.7167,69.93,63,47,6.64,scattered clouds
76,Oranjemund,NA,-28.55,16.4333,64.6,74,6,2.26,clear sky
77,Bluff,NZ,-46.6,168.3333,61.0,76,5,1.01,clear sky
78,Bac Lieu,VN,9.285,105.7244,77.52,78,1,14.34,clear sky
79,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,89,75,3.44,broken clouds
80,Dryden,CA,49.7833,-92.7503,26.6,33,1,12.66,clear sky
81,Gamba,GA,-2.65,10.0,77.67,85,100,8.61,overcast clouds
82,Deputatskiy,RU,69.3,139.9,-19.82,79,10,1.43,clear sky
83,Okha,RU,53.5739,142.9478,22.32,85,27,12.44,scattered clouds
84,Koslan,RU,63.4564,48.8989,10.09,88,33,9.17,scattered clouds
85,Iisalmi,FI,63.5592,27.1907,19.4,93,90,4.61,overcast clouds
86,Avera,US,33.194,-82.5271,77.0,36,1,6.91,clear sky
87,Belmonte,BR,-15.8631,-38.8828,78.8,65,0,10.36,clear sky
88,Port Alfred,ZA,-33.5906,26.891,74.77,84,12,17.92,few clouds
89,Comodoro Rivadavia,AR,-45.8667,-67.5,71.6,37,0,10.36,clear sky
90,Maragogi,BR,-9.0122,-35.2225,78.85,77,0,8.9,clear sky
91,Madimba,TZ,-10.4,40.3333,77.23,78,82,3.91,broken clouds
92,Saint George,US,37.1041,-113.5841,44.01,81,75,3.44,broken clouds
93,Kudahuvadhoo,MV,2.6708,72.8944,82.92,71,65,8.99,broken clouds
94,Port Hardy,CA,50.6996,-127.4199,44.6,81,90,11.5,light rain
95,Ossora,RU,59.2353,163.0719,16.05,75,99,7.49,overcast clouds
96,Utica,US,43.1009,-75.2327,50.0,37,75,19.57,broken clouds
97,Bilma,NE,18.6853,12.9164,79.93,5,0,12.66,clear sky
98,Ponta Do Sol,PT,32.6667,-17.1,57.99,68,86,1.01,overcast clouds
99,Clyde River,CA,70.4692,-68.5914,-2.2,84,90,19.57,snow
100,Mareeba,AU,-17.0,145.4333,80.6,74,95,9.22,overcast clouds
101,Dunedin,NZ,-45.8742,170.5036,60.01,74,0,18.01,clear sky
102,Westport,US,41.1415,-73.3579,64.4,16,1,16.11,clear sky
103,Gillette,US,44.2911,-105.5022,42.8,61,90,11.5,overcast clouds
104,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84,90,21.85,snow
105,Totness,SR,5.8833,-56.3167,75.22,91,100,9.22,moderate rain
106,Japura,ID,-0.3167,102.35,72.01,97,91,1.99,overcast clouds
107,Payo,ID,-3.7508,103.6372,71.11,98,99,1.97,overcast clouds
108,Yellowknife,CA,62.456,-114.3525,6.8,61,40,18.41,scattered clouds
109,Lavrentiya,RU,65.5833,-171.0,15.87,93,100,19.24,light snow
110,Chokurdakh,RU,70.6333,147.9167,-21.05,99,5,2.57,clear sky
111,Khatanga,RU,71.9667,102.5,-24.18,83,64,8.88,broken clouds
112,Saint-Augustin,CA,51.226,-58.6502,30.87,82,100,23.17,overcast clouds
113,Calvia,ES,39.5657,2.5062,57.0,52,78,1.99,broken clouds
114,Mayumba,GA,-3.432,10.6554,77.74,87,100,8.43,overcast clouds
115,Yeppoon,AU,-23.1333,150.7333,80.6,69,11,8.05,few clouds
116,Tual,ID,-5.6667,132.75,82.81,72,48,6.62,scattered clouds
117,Hamilton,US,39.1834,-84.5333,59.0,33,75,8.05,broken clouds
118,Cairo Montenotte,IT,44.4031,8.2746,52.0,99,0,3.11,clear sky
119,Bela,IN,25.9333,81.9833,73.58,39,100,4.43,overcast clouds
120,Igarka,RU,67.4667,86.5833,-11.56,97,98,22.88,light snow
121,Businga,CD,3.3333,20.8833,72.32,93,98,2.19,overcast clouds
122,Hithadhoo,MV,-0.6,73.0833,83.5,62,64,5.84,broken clouds
123,Lagoa,PT,39.05,-27.9833,58.51,88,100,17.05,overcast clouds
124,Butaritari,KI,3.0707,172.7902,81.19,77,79,13.98,broken clouds
125,Ayr,GB,55.4627,-4.6339,39.0,85,95,1.99,overcast clouds
126,Cabinda,AO,-5.55,12.2,80.17,87,100,7.63,light rain
127,Egvekinot,RU,66.3167,-179.1667,23.25,96,100,16.8,snow
128,Rosetta,EG,31.4044,30.4164,57.2,67,40,9.22,scattered clouds
129,North Bend,US,43.4065,-124.2243,64.99,71,1,14.97,clear sky
130,Porosozero,RU,62.7191,32.727,20.3,93,100,9.46,light snow
131,Synya,RU,65.3718,58.0387,11.88,90,100,10.8,overcast clouds
132,Penzance,GB,50.1186,-5.5371,48.2,87,75,35.68,broken clouds
133,Hofn,IS,64.2539,-15.2082,36.07,57,100,27.13,overcast clouds
134,Beira,MZ,-19.8436,34.8389,78.8,83,40,6.91,scattered clouds
135,Acapulco,MX,16.8634,-99.8901,84.2,70,20,5.75,few clouds
136,Zuya,UA,45.0531,34.3154,29.12,65,78,4.74,broken clouds
137,Natal,BR,-5.795,-35.2094,82.4,69,20,12.66,few clouds
138,Juneau,US,58.3019,-134.4197,32.0,93,90,3.44,mist
139,Ereymentau,KZ,51.6199,73.1033,-16.89,97,82,12.06,broken clouds
140,Brewster,US,41.3973,-73.6171,62.6,17,1,10.36,clear sky
141,Bethel,US,41.3712,-73.414,64.4,17,1,10.36,clear sky
142,Leshukonskoye,RU,64.8989,45.7622,13.75,90,54,9.01,broken clouds
143,Kremze,CZ,48.905,14.3057,36.0,74,48,10.45,scattered clouds
144,Broome,US,42.2506,-75.833,51.8,24,1,12.66,clear sky
145,Ahuimanu,US,21.4447,-157.8378,80.6,65,75,13.8,broken clouds
146,Ostrovnoy,RU,68.0531,39.5131,12.83,90,96,16.6,overcast clouds
147,Kahului,US,20.8947,-156.47,78.01,78,40,23.02,light rain
148,Longyearbyen,SJ,78.2186,15.6401,-0.83,87,40,1.88,scattered clouds
149,Lima,PE,-12.0432,-77.0282,79.0,69,0,17.27,clear sky
150,Kavieng,PG,-2.5744,150.7967,83.91,60,78,4.74,broken clouds
151,Bacungan,PH,9.9106,118.7022,77.0,88,90,4.61,very heavy rain
152,Komsomolskiy,UZ,40.4272,71.7189,50.0,66,40,11.5,scattered clouds
153,Cayenne,GF,4.9333,-52.3333,73.4,94,0,2.3,light rain
154,Oudtshoorn,ZA,-33.5907,22.2014,62.6,88,0,3.44,clear sky
155,Houma,US,29.5958,-90.7195,78.01,73,40,13.8,scattered clouds
156,Omboue,GA,-1.5746,9.2618,77.23,88,100,3.62,overcast clouds
157,Ambunti,PG,-4.2365,142.8448,80.2,84,87,0.92,overcast clouds
158,Souillac,MU,-20.5167,57.5167,78.8,73,40,6.91,scattered clouds
159,Griffith,US,41.5284,-87.4237,46.99,49,1,3.44,clear sky
160,Hasaki,JP,35.7333,140.8333,55.4,94,75,9.22,heavy intensity rain
161,Katsuura,JP,35.1333,140.3,53.01,93,100,4.0,moderate rain
162,Beidao,CN,34.5686,105.8933,45.59,85,0,3.31,clear sky
163,Constitucion,CL,-35.3333,-72.4167,61.23,70,3,7.43,clear sky
164,Kirakira,SB,-10.4544,161.9205,84.47,68,14,4.12,few clouds
165,Tilichiki,RU,60.4667,166.1,14.61,92,100,11.1,light snow
166,Wilson,US,36.1501,-86.2833,62.01,94,90,4.45,overcast clouds
167,Rio Gallegos,AR,-51.6226,-69.2181,69.8,24,0,31.07,clear sky
168,Luderitz,NA,-26.6481,15.1594,67.08,70,0,6.8,clear sky
169,Luanda,AO,-8.8368,13.2343,79.14,80,100,6.15,overcast clouds
170,Saint-Pierre,RE,-21.3393,55.4781,77.0,69,0,8.05,clear sky
171,Harnosand,SE,62.6323,17.9379,32.0,100,90,3.44,mist
172,Mizan Teferi,ET,6.9833,35.5833,68.86,55,63,2.95,broken clouds
173,Ataco,CO,3.5915,-75.3818,76.73,82,43,3.04,scattered clouds
174,Sao Filipe,CV,14.8961,-24.4956,70.48,77,3,7.63,clear sky
175,Georgetown,MY,5.4112,100.3354,77.0,94,20,3.44,few clouds
176,Shingu,JP,33.7333,135.9833,53.6,94,75,13.8,broken clouds
177,Zhezkazgan,KZ,47.8043,67.7144,-6.36,86,12,14.88,few clouds
178,Vestmanna,FO,62.1564,-7.1664,39.2,87,75,11.5,broken clouds
179,Vardo,NO,70.3705,31.1107,23.0,74,75,13.8,broken clouds
180,Guadalupe Y Calvo,MX,26.1,-106.9667,63.41,20,62,16.13,broken clouds
181,Kaitangata,NZ,-46.2817,169.8464,63.68,60,1,1.79,clear sky
182,Andros Town,BS,24.7,-77.7667,75.2,64,75,14.97,broken clouds
183,Buraydah,SA,26.326,43.975,62.6,45,0,18.41,dust
184,Nome,US,64.5011,-165.4064,0.0,71,90,19.57,haze
185,Gizo,SB,-8.103,156.8419,83.25,71,100,9.4,overcast clouds
186,Lebu,CL,-37.6167,-73.65,59.23,83,0,16.46,clear sky
187,Chuy,UY,-33.6971,-53.4616,68.32,92,17,10.18,few clouds
188,Atherton,GB,53.5237,-2.4935,44.01,85,100,4.0,overcast clouds
189,Swan River,CA,52.1058,-101.2676,35.6,64,100,14.97,overcast clouds
190,Goundam,ML,16.4145,-3.6708,68.38,21,0,9.28,clear sky
191,Lucea,JM,18.451,-78.1736,81.0,69,40,16.11,scattered clouds
192,Massakory,TD,12.996,15.7293,86.23,6,46,12.19,scattered clouds
193,Torbay,CA,47.6666,-52.7314,42.01,100,90,35.68,light rain
194,Atchison,US,39.563,-95.1216,45.0,89,100,17.09,overcast clouds
195,Qaqortoq,GL,60.7167,-46.0333,14.0,62,75,8.05,broken clouds
196,Ko Samui,TH,9.5357,99.9357,81.25,76,0,13.06,clear sky
197,Alekseyevka,RU,50.6309,38.6903,21.63,48,98,14.09,light snow
198,Jinxiang,CN,27.4327,120.6062,54.34,82,99,8.03,overcast clouds
199,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,94,75,6.91,broken clouds
200,Labuhan,ID,-6.8844,112.2051,77.23,84,99,5.28,overcast clouds
201,Venado,MX,22.9333,-101.0833,83.41,12,0,11.36,clear sky
202,Bambous Virieux,MU,-20.3428,57.7575,78.8,73,40,6.91,scattered clouds
203,Ilebo,CD,-4.3167,20.5833,74.05,93,88,2.84,light rain
204,Kovur,IN,14.4833,79.9833,68.76,80,2,5.3,clear sky
205,Aguimes,ES,27.9054,-15.4461,64.0,77,20,13.8,few clouds
206,Pimentel,PE,-6.8367,-79.9342,84.2,54,0,19.57,clear sky
207,Mount Gambier,AU,-37.8333,140.7667,59.0,94,75,13.8,light rain
208,Rongcheng,CN,30.634,117.8517,48.15,91,100,1.7,overcast clouds
209,Nantucket,US,41.2835,-70.0995,51.8,71,1,11.5,clear sky
210,Neiafu,TO,-18.65,-173.9833,82.4,69,20,5.75,few clouds
211,Yar-Sale,RU,66.8333,70.8333,12.6,78,94,22.77,overcast clouds
212,Flinders,AU,-34.5833,150.8552,79.0,89,0,3.0,clear sky
213,Port Lincoln,AU,-34.7333,135.8667,63.12,67,100,22.17,overcast clouds
214,Maracacume,BR,-2.0428,-45.9592,74.79,95,91,3.27,overcast clouds
215,Yulara,AU,-25.2406,130.9889,75.2,73,90,10.36,overcast clouds
216,Castro,BR,-24.7911,-50.0119,65.43,71,6,2.62,clear sky
217,Tefe,BR,-3.3542,-64.7114,78.8,89,40,5.75,moderate rain
218,Great Yarmouth,GB,52.6083,1.7305,44.6,76,87,12.66,overcast clouds
219,Voh,NC,-20.9667,164.7,82.17,65,59,5.84,broken clouds
220,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,18.41,scattered clouds
221,Nishihara,JP,26.1842,127.7558,64.4,51,90,8.05,overcast clouds
222,Pochutla,MX,15.7432,-96.4661,88.0,51,1,11.5,clear sky
223,Lesosibirsk,RU,58.2358,92.4828,4.17,95,89,6.35,overcast clouds
224,Norman Wells,CA,65.282,-126.8329,-2.2,60,90,18.41,snow
225,Tonantins,BR,-2.8731,-67.8022,77.2,83,68,1.68,broken clouds
226,Djambala,CG,-2.5447,14.7533,64.33,88,99,0.92,overcast clouds
227,Marawi,PH,7.9986,124.2928,73.0,96,99,3.0,overcast clouds
228,Ust-Ordynskiy,RU,52.805,104.7508,32.0,59,0,13.42,clear sky
229,Eenhana,NA,-17.4667,16.3333,71.89,63,22,5.97,few clouds
230,Karratha,AU,-20.7377,116.8463,84.61,63,1,2.66,clear sky
231,Aksarka,RU,66.5606,67.7975,15.01,76,100,24.25,overcast clouds
232,Mayo,US,38.8876,-76.5119,68.0,40,1,9.22,clear sky
233,Lorengau,PG,-2.0226,147.2712,84.2,63,94,3.33,overcast clouds
234,Solnechnyy,RU,50.7214,136.6319,26.44,78,78,2.8,broken clouds
235,Tiksi,RU,71.6872,128.8694,-15.83,96,100,7.63,overcast clouds
236,Itarema,BR,-2.9248,-39.9167,79.25,79,100,12.15,overcast clouds
